"Park","yr","spp","nobs","ndetects","propdetect"
"CHIR",2017,"BAAS",237,14,0.06
"CHIR",2017,"CALA",237,0,0
"CHIR",2017,"COLE",237,16,0.07
"CHIR",2017,"LECA",237,0,0
"CHIR",2017,"LYRU",237,4,0.02
"CHIR",2017,"MEMA",237,1,0
"CHIR",2017,"MEME",237,8,0.03
"CHIR",2017,"NANA",237,14,0.06
"CHIR",2017,"ODHE",237,0,0
"CHIR",2017,"ODVI",237,67,0.28
"CHIR",2017,"PETA",237,0,0
"CHIR",2017,"PUCO",237,0,0
"CHIR",2017,"SKUNK",237,2,0.01
"CHIR",2017,"SPGR",237,4,0.02
"CHIR",2017,"SPVA",237,10,0.04
"CHIR",2017,"SYAU",237,1,0
"CHIR",2017,"SYFL",237,1,0
"CHIR",2017,"UNOD",237,5,0.02
"CHIR",2017,"UNSY",237,24,0.1
"CHIR",2017,"URAM",237,8,0.03
"CHIR",2017,"URCI",237,26,0.11
"CHIR",2018,"BAAS",246,8,0.03
"CHIR",2018,"CALA",246,5,0.02
"CHIR",2018,"COLE",246,25,0.1
"CHIR",2018,"LECA",246,1,0
"CHIR",2018,"LYRU",246,13,0.05
"CHIR",2018,"MEMA",246,0,0
"CHIR",2018,"MEME",246,1,0
"CHIR",2018,"NANA",246,15,0.06
"CHIR",2018,"ODHE",246,0,0
"CHIR",2018,"ODVI",246,59,0.24
"CHIR",2018,"PETA",246,0,0
"CHIR",2018,"PUCO",246,2,0.01
"CHIR",2018,"SKUNK",246,1,0
"CHIR",2018,"SPGR",246,3,0.01
"CHIR",2018,"SPVA",246,10,0.04
"CHIR",2018,"SYAU",246,0,0
"CHIR",2018,"SYFL",246,0,0
"CHIR",2018,"UNOD",246,13,0.05
"CHIR",2018,"UNSY",246,34,0.14
"CHIR",2018,"URAM",246,10,0.04
"CHIR",2018,"URCI",246,5,0.02
"CHIR",2019,"BAAS",246,6,0.02
"CHIR",2019,"CALA",246,1,0
"CHIR",2019,"COLE",246,12,0.05
"CHIR",2019,"LECA",246,0,0
"CHIR",2019,"LYRU",246,8,0.03
"CHIR",2019,"MEMA",246,3,0.01
"CHIR",2019,"MEME",246,5,0.02
"CHIR",2019,"NANA",246,7,0.03
"CHIR",2019,"ODHE",246,1,0
"CHIR",2019,"ODVI",246,67,0.27
"CHIR",2019,"PETA",246,1,0
"CHIR",2019,"PUCO",246,3,0.01
"CHIR",2019,"SKUNK",246,4,0.02
"CHIR",2019,"SPGR",246,1,0
"CHIR",2019,"SPVA",246,20,0.08
"CHIR",2019,"SYAU",246,0,0
"CHIR",2019,"SYFL",246,0,0
"CHIR",2019,"UNOD",246,14,0.06
"CHIR",2019,"UNSY",246,24,0.1
"CHIR",2019,"URAM",246,31,0.13
"CHIR",2019,"URCI",246,9,0.04
"CHIR",2021,"BAAS",246,4,0.02
"CHIR",2021,"CALA",246,4,0.02
"CHIR",2021,"COLE",246,4,0.02
"CHIR",2021,"LECA",246,0,0
"CHIR",2021,"LYRU",246,11,0.04
"CHIR",2021,"MEMA",246,1,0
"CHIR",2021,"MEME",246,2,0.01
"CHIR",2021,"NANA",246,8,0.03
"CHIR",2021,"ODHE",246,0,0
"CHIR",2021,"ODVI",246,81,0.33
"CHIR",2021,"PETA",246,0,0
"CHIR",2021,"PUCO",246,2,0.01
"CHIR",2021,"SKUNK",246,0,0
"CHIR",2021,"SPGR",246,0,0
"CHIR",2021,"SPVA",246,11,0.04
"CHIR",2021,"SYAU",246,0,0
"CHIR",2021,"SYFL",246,0,0
"CHIR",2021,"UNOD",246,10,0.04
"CHIR",2021,"UNSY",246,9,0.04
"CHIR",2021,"URAM",246,11,0.04
"CHIR",2021,"URCI",246,17,0.07
"CHIR",2022,"BAAS",190,0,0
"CHIR",2022,"CALA",190,0,0
"CHIR",2022,"COLE",190,2,0.01
"CHIR",2022,"LECA",190,0,0
"CHIR",2022,"LYRU",190,4,0.02
"CHIR",2022,"MEMA",190,0,0
"CHIR",2022,"MEME",190,0,0
"CHIR",2022,"NANA",190,7,0.04
"CHIR",2022,"ODHE",190,0,0
"CHIR",2022,"ODVI",190,49,0.26
"CHIR",2022,"PETA",190,0,0
"CHIR",2022,"PUCO",190,0,0
"CHIR",2022,"SKUNK",190,1,0.01
"CHIR",2022,"SPGR",190,2,0.01
"CHIR",2022,"SPVA",190,13,0.07
"CHIR",2022,"SYAU",190,0,0
"CHIR",2022,"SYFL",190,0,0
"CHIR",2022,"UNOD",190,0,0
"CHIR",2022,"UNSY",190,7,0.04
"CHIR",2022,"URAM",190,15,0.08
"CHIR",2022,"URCI",190,21,0.11
